,SVM,Multi-level Perceptron,Decision Tree,KNN,Random Forest
fit_time,0.1423715114593506,3.463258385658264,0.010743439197540283,0.003997743129730225,0.6199843168258667
score_time,0.06066696643829346,0.014991402626037598,0.0065000057220458984,0.2471081018447876,0.09848039150238037
test_accuracy,0.9434958968493554,0.944000972000972,0.9447469714969714,0.9502477237477237,0.9457527859549122
train_accuracy,0.9439443938228701,0.9466666915277805,0.9533330530555244,1.0,0.9473611610618178
test_precision,0.9434958968493554,0.944000972000972,0.9447469714969714,0.9502477237477237,0.9457527859549122
train_precision,0.9439443938228701,0.9466666915277805,0.9533330530555244,1.0,0.9473611610618178
test_recall,0.9434958968493554,0.944000972000972,0.9447469714969714,0.9502477237477237,0.9457527859549122
train_recall,0.9439443938228701,0.9466666915277805,0.9533330530555244,1.0,0.9473611610618178
test_f1_score,0.9434958968493554,0.944000972000972,0.9447469714969714,0.9502477237477237,0.9457527859549122
train_f1_score,0.9439443938228701,0.9466666915277805,0.9533330530555244,1.0,0.9473611610618178
