,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
0,0.010148942470550537,0.005434345876330665,0.46253812313079834,0.07673019266519304,1,{'n_neighbors': 1},0.9640718562874252,0.97,0.955,0.9659318637274549,0.96375,0.00548816469594408,1,0.9640718562874252,0.97,0.955,0.9659318637274549,0.96375,0.00548816469594408,1,0.9640718562874252,0.97,0.955,0.9659318637274549,0.96375,0.00548816469594408,1,0.9640718562874252,0.97,0.955,0.9659318637274549,0.96375,0.00548816469594408,1
1,0.026493072509765625,0.0061317916121056285,0.5753005743026733,0.04672196131316088,6,{'n_neighbors': 6},0.9471057884231537,0.956,0.954,0.9559118236472945,0.95325,0.0036408437583852486,2,0.9471057884231537,0.956,0.954,0.9559118236472945,0.95325,0.0036408437583852486,2,0.9471057884231537,0.956,0.954,0.9559118236472945,0.95325,0.0036408437583852486,2,0.9471057884231537,0.956,0.954,0.9559118236472945,0.95325,0.0036408437583852486,2
2,0.026365339756011963,0.0023296809764423014,0.6844809651374817,0.01637749805709854,11,{'n_neighbors': 11},0.9421157684630739,0.955,0.942,0.9519038076152304,0.94775,0.00580199671687803,3,0.9421157684630739,0.955,0.942,0.9519038076152304,0.94775,0.00580199671687803,3,0.9421157684630739,0.955,0.942,0.9519038076152304,0.94775,0.00580199671687803,3,0.9421157684630739,0.955,0.942,0.9519038076152304,0.94775,0.00580199671687803,3
3,0.028971970081329346,0.00816015970548537,0.7118964195251465,0.032444338420333146,16,{'n_neighbors': 16},0.93812375249501,0.945,0.938,0.9428857715430862,0.941,0.0030347309334382996,4,0.93812375249501,0.945,0.938,0.9428857715430862,0.941,0.0030347309334382996,4,0.93812375249501,0.945,0.938,0.9428857715430862,0.941,0.0030347309334382996,4,0.93812375249501,0.945,0.938,0.9428857715430862,0.941,0.0030347309334382996,4
4,0.02259165048599243,0.0008699743243792811,0.6403360366821289,0.01774320326314875,21,{'n_neighbors': 21},0.9321357285429142,0.934,0.929,0.9318637274549099,0.93175,0.001787945199661371,5,0.9321357285429142,0.934,0.929,0.9318637274549099,0.93175,0.001787945199661371,5,0.9321357285429142,0.934,0.929,0.9318637274549099,0.93175,0.001787945199661371,5,0.9321357285429142,0.934,0.929,0.9318637274549099,0.93175,0.001787945199661371,5
5,0.027423977851867676,0.003763980419605748,0.732073187828064,0.04374492784160891,26,{'n_neighbors': 26},0.9321357285429142,0.935,0.929,0.9278557114228457,0.931,0.0027910229592815294,6,0.9321357285429142,0.935,0.929,0.9278557114228457,0.931,0.0027910229592815294,6,0.9321357285429142,0.935,0.929,0.9278557114228457,0.931,0.0027910229592815294,6,0.9321357285429142,0.935,0.929,0.9278557114228458,0.931,0.002791022959281498,6
6,0.023049592971801758,0.002253017961349615,0.775101363658905,0.007628456129490802,31,{'n_neighbors': 31},0.9291417165668663,0.929,0.931,0.9258517034068137,0.92875,0.0018481119858037988,7,0.9291417165668663,0.929,0.931,0.9258517034068137,0.92875,0.0018481119858037988,7,0.9291417165668663,0.929,0.931,0.9258517034068137,0.92875,0.0018481119858037988,7,0.9291417165668663,0.929,0.931,0.9258517034068137,0.92875,0.0018481119858037988,7
7,0.027244389057159424,0.0039023877198720975,0.8252663612365723,0.019528756979215363,36,{'n_neighbors': 36},0.9301397205588823,0.924,0.93,0.9198396793587175,0.926,0.004331431985523058,8,0.9301397205588823,0.924,0.93,0.9198396793587175,0.926,0.004331431985523058,8,0.9301397205588823,0.924,0.93,0.9198396793587175,0.926,0.004331431985523058,8,0.9301397205588823,0.924,0.93,0.9198396793587175,0.926,0.004331431985523058,8
8,0.02530050277709961,0.002711414737894233,0.8068742156028748,0.014398957380959481,41,{'n_neighbors': 41},0.9291417165668663,0.922,0.928,0.9208416833667334,0.925,0.0036209507653567822,9,0.9291417165668663,0.922,0.928,0.9208416833667334,0.925,0.0036209507653567822,9,0.9291417165668663,0.922,0.928,0.9208416833667334,0.925,0.0036209507653567822,9,0.9291417165668663,0.922,0.928,0.9208416833667334,0.925,0.0036209507653567822,9
9,0.025888442993164062,0.0012006509078920779,0.8623582124710083,0.029529566399559188,46,{'n_neighbors': 46},0.9261477045908184,0.921,0.918,0.9118236472945892,0.91925,0.005180224376308274,10,0.9261477045908184,0.921,0.918,0.9118236472945892,0.91925,0.005180224376308274,10,0.9261477045908184,0.921,0.918,0.9118236472945892,0.91925,0.005180224376308274,10,0.9261477045908184,0.9209999999999999,0.918,0.9118236472945892,0.91925,0.005180224376308265,10
