,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score
0,0.284002423286438,0.0018772025361279375,0.4516967535018921,0.06096851472077349,1,{'n_neighbors': 1},0.9915,0.9935,0.992,0.9925,0.9923750000000001,0.0007395099728874597,1,0.9915,0.9935,0.992,0.9925,0.9923750000000001,0.0007395099728874597,1,0.9915,0.9935,0.992,0.9925,0.9923750000000001,0.0007395099728874597,1,0.9915,0.9935,0.992,0.9925,0.9923750000000001,0.0007395099728874597,1
1,0.27067506313323975,0.003049395681279847,0.45617449283599854,0.013110223316001006,6,{'n_neighbors': 6},0.9875,0.9905,0.9885,0.9875,0.9885000000000002,0.00122474487139159,2,0.9875,0.9905,0.9885,0.9875,0.9885000000000002,0.00122474487139159,2,0.9875,0.9905,0.9885,0.9875,0.9885000000000002,0.00122474487139159,2,0.9875,0.9905,0.9885,0.9875,0.9885000000000002,0.00122474487139159,2
2,0.2737908959388733,0.004731286009885686,0.5085415840148926,0.033231587786524075,11,{'n_neighbors': 11},0.9845,0.9895,0.9845,0.985,0.9858750000000001,0.0021028254801575977,3,0.9845,0.9895,0.9845,0.985,0.9858750000000001,0.0021028254801575977,3,0.9845,0.9895,0.9845,0.985,0.9858750000000001,0.0021028254801575977,3,0.9845,0.9895,0.9845,0.985,0.9858750000000001,0.0021028254801575977,3
3,0.3199194073677063,0.02426002495742641,0.5373530387878418,0.08130360175366637,16,{'n_neighbors': 16},0.9845,0.989,0.9845,0.9845,0.9856250000000001,0.0019485571585149647,4,0.9845,0.989,0.9845,0.9845,0.9856250000000001,0.0019485571585149647,4,0.9845,0.989,0.9845,0.9845,0.9856250000000001,0.0019485571585149647,4,0.9845,0.989,0.9845,0.9845,0.9856250000000001,0.0019485571585149647,4
4,0.3098323941230774,0.031600368544383535,0.5828538537025452,0.05765869957415243,21,{'n_neighbors': 21},0.9825,0.9865,0.982,0.984,0.98375,0.0017500000000000135,5,0.9825,0.9865,0.982,0.984,0.98375,0.0017500000000000135,5,0.9825,0.9865,0.982,0.984,0.98375,0.0017500000000000135,5,0.9825,0.9865,0.982,0.984,0.98375,0.0017500000000000135,5
5,0.3181720972061157,0.03619800210613041,0.6157693266868591,0.03758862382741027,26,{'n_neighbors': 26},0.983,0.987,0.9795,0.985,0.983625,0.002769814975770024,6,0.983,0.987,0.9795,0.985,0.983625,0.002769814975770024,6,0.983,0.987,0.9795,0.985,0.983625,0.002769814975770024,6,0.983,0.987,0.9795,0.985,0.983625,0.002769814975770024,6
6,0.34670770168304443,0.027917504074417863,0.6001810431480408,0.021343693518589862,31,{'n_neighbors': 31},0.9805,0.984,0.9785,0.9805,0.980875,0.0019803724397193375,7,0.9805,0.984,0.9785,0.9805,0.980875,0.0019803724397193375,7,0.9805,0.984,0.9785,0.9805,0.980875,0.0019803724397193375,7,0.9805,0.984,0.9785,0.9805,0.980875,0.0019803724397193375,7
7,0.3437228202819824,0.035702608859771244,0.6018002033233643,0.031239416715444494,36,{'n_neighbors': 36},0.9795,0.984,0.9775,0.9795,0.9801249999999999,0.0023815698604071857,8,0.9795,0.984,0.9775,0.9795,0.9801249999999999,0.0023815698604071857,8,0.9795,0.984,0.9775,0.9795,0.9801249999999999,0.0023815698604071857,8,0.9795,0.984,0.9775,0.9795,0.9801249999999999,0.0023815698604071857,8
8,0.2862478494644165,0.0020276662691787275,0.6106529831886292,0.01519156214788685,41,{'n_neighbors': 41},0.9785,0.983,0.977,0.9795,0.9795,0.0022079402165819575,9,0.9785,0.983,0.977,0.9795,0.9795,0.0022079402165819575,9,0.9785,0.983,0.977,0.9795,0.9795,0.0022079402165819575,9,0.9785,0.983,0.977,0.9795,0.9795,0.0022079402165819575,9
9,0.30233222246170044,0.011866133048633636,0.5802323222160339,0.018234178476238195,46,{'n_neighbors': 46},0.9785,0.9785,0.9755,0.978,0.977625,0.001243734296383272,10,0.9785,0.9785,0.9755,0.978,0.977625,0.001243734296383272,10,0.9785,0.9785,0.9755,0.978,0.977625,0.001243734296383272,10,0.9785,0.9785,0.9755,0.978,0.977625,0.001243734296383272,10
