,Multi-level Perceptron,Decision Tree,KNN
fit_time,3.3648142218589783,0.035729944705963135,0.0477219820022583
score_time,0.013500213623046875,0.010744869709014893,0.7515449523925781
test_accuracy,0.9752472107051267,0.9879984804774384,0.9672509494513503
train_accuracy,0.9810010242328908,0.9978332775371048,1.0
test_precision,0.9752472107051267,0.9879984804774384,0.9672509494513503
train_precision,0.9810010242328908,0.9978332775371048,1.0
test_recall,0.9752472107051267,0.9879984804774384,0.9672509494513503
train_recall,0.9810010242328908,0.9978332775371048,1.0
test_f1_score,0.9752472107051267,0.9879984804774384,0.9672509494513503
train_f1_score,0.9810010242328908,0.9978332775371048,1.0
